id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4486877375128480,IAs4Nlw9q,2286908003,人民网,【#G20将启动总价值5万亿美元经济提振计划#】沙特国家电视台消息显示，二十国集团领导人应对新冠肺炎特别峰会当地时间26日下午正式闭幕。峰会公报显示，二十国集团将致力于与世界卫生组织、国际货币基金组织、世界银行、联合国和其他国际组织一道，为战胜疫情做出一切努力，重点保护民众生命和健康、保障就业与收入、恢复信心、保持金融稳定并促进经济恢复，最大限度地降低疫情对贸易和全球供应链的影响程度，并向所有需要援助的国家提供帮助，同时协调公共卫生和财政政策。二十国集团将启动总价值5万亿美元的经济计划，以应对疫情对全球社会、经济和金融带来的负面影响，并支持各国中央银行采取措施促进金融稳定和增强全球市场的流动性。（央视）OG20应对新冠肺炎特别峰会闭幕将启动价值5万亿美元的提振经济计划,,,,G20将启动总价值5万亿美元经济提振计划,137,149,644,2020-03-26 23:59,微博 weibo.com,['https://wx1.sinaimg.cn/large/884f7263ly1gd86jdjv60j20go0go0w9.jpg'],,
4486876926520528,IAs44rmhO,1840791954,不声不响放大招,大晚上无聊在看高校毕业生就业去向，发现很多清北，常青藤名校的投身基础教育或其他事业单位。申请名校相较于出社会后是否成功的评价简单多了，排名就在那。然而带着光环毕业后到底怎么样才算是发光发热了，就很难去定义呀。比如看到名单上哈佛和普通师范的学生在同一岗位会感慨，用点世俗的眼光（不过如此嘛），但明显这样的感慨是肤浅的，一切才刚开始，这是起点而不是终点。,,,,,0,2,0,2020-03-26 23:58,Mac客户端,,,
4486876813260298,IAs3TdG9s,1913058077,有雷震雨,减负提速稳岗提标服务提质政策组合拳促进稳就业O减负提速稳岗提标服务提质政策组合拳促进稳就业,,,,,0,0,0,2020-03-26 23:57,学习强国客户端,['https://wx3.sinaimg.cn/large/7206f31dgy1gd7rsmjddwj2046046glg.jpg'],,
4486514484023322,IAiDugSEi,5181066023,圆圆公考答疑,注意！如果你是以下任意一身份，就有报考2020军队文职的资格啦——☑️普通高等学校应届毕业生指2020年毕业，取得相应毕业证和学位证的毕业生。☑️普通高等学校非应届毕业生指在两年择业期内未落实工作单位，其户口、档案、组织关系仍保留在原毕业学校，或者保留在各级毕业生就业主管部门（毕业生就业指导服务中心）、各级人才交流服务机构和各级公共就业服务机构的毕业生。☑️社会人才☑️定向招考对象军队烈士、因公牺牲军人的配偶子女以及现役军人配偶。,,,,,0,3,1,2020-03-25 23:57,HUAWEI nova 3,,,
4486514438284316,IAiDpyL80,3037273687,永新发布,#联防联控江西在行动#、#抗疫一线江西党员勇争先#、#江西全力保供应稳物价#、#爱心守望情暖赣鄱#[战疫情特别报道]复工复产调研行打通信息堵点千方百计稳就业O网页链接,,,,"联防联控江西在行动,抗疫一线江西党员勇争先,江西全力保供应稳物价,爱心守望情暖赣鄱",0,0,0,2020-03-25 23:57,iPhone客户端,,,
4486514429541411,IAiDoE29J,5698318100,我是小强11412,国新办举行应对新冠肺炎疫情影响强化稳就业举措《实施意见》例行吹风会O国新办举行应对新冠肺炎疫情影响强化稳就业举措《实施意见》例行吹风会,,,,,0,0,0,2020-03-25 23:57,学习强国客户端,['https://wx4.sinaimg.cn/large/006dDyQsly1gd6m6c5et9j3046046dfo.jpg'],,
4486513620827034,IAiC63t9g,7352281438,肖一Emma,學習打卡#百日自律Day8學習新單詞10個閱讀百歲人生之緒論工作篇：就業形勢長壽帶來的一個主要問題，溫斯頓•丘吉爾說過一句很有哲思的話”向前看都是明智的，但高瞻遠矚總是困難的”我們很難對未來做出預測，越是遙遠的未來，不確定性也越大。,,,,,0,0,0,2020-03-25 23:54,iPhone客户端,"['https://wx2.sinaimg.cn/large/0081zqgugy1gd6m2y940ej30mi0u0e4p.jpg', 'https://wx2.sinaimg.cn/large/0081zqgugy1gd6m2zd9hfj30mi0u04ou.jpg', 'https://wx2.sinaimg.cn/large/0081zqgugy1gd6m2zu37tj30wt17tn4h.jpg']",,
4486152436009874,IA9dxpdrs,3216557454,卦摊,我围观了@神嘛事儿的回答，该问题价值100.00元，围观仅1元，快来一起围观~O微博问答,,,神嘛事儿,,0,0,0,2020-03-24 23:59,微博问答,,,
4486151929246288,IA9cICNnG,5130008514,Coda小透明,还是要对就业前景有信心的哈金贵不金贵单说起码蛮养眼的#当我快冻死时我在想什么#,,,,当我快冻死时我在想什么,0,0,1,2020-03-24 23:57,iPhone客户端,"['https://wx3.sinaimg.cn/large/005BaZyOly1gd5gjihsaij30u00u0qv9.jpg', 'https://wx1.sinaimg.cn/large/005BaZyOly1gd5gj5ovt4j30u00u0qva.jpg', 'https://wx4.sinaimg.cn/large/005BaZyOly1gd5gjitq0gj30u00u0b2m.jpg', 'https://wx4.sinaimg.cn/large/005BaZyOly1gd5gjkwd6nj30u00u0u19.jpg']",,
4486151899743644,IA9cFESLy,5825741465,北海市直属机关工委,『“互联网＋”助力疫情之下稳就业』O“互联网＋”助力疫情之下稳就业,,,,,0,0,0,2020-03-24 23:57,魅族 MX6 遇见好照片,,,
